"","Date","Open","High","Low","Close","Adj.Close","Volume"
"7701","2020-12-23",132.160004,132.429993,130.779999,130.960007,129.030792,88223700
"7702","2020-12-24",131.320007,133.460007,131.100006,131.970001,130.025925,54930100
"7703","2020-12-28",133.990005,137.339996,133.509995,136.690002,134.676407,124486200
"7704","2020-12-29",138.050003,138.789993,134.339996,134.869995,132.883209,121047300
"7705","2020-12-30",135.580002,135.990005,133.399994,133.720001,131.750153,96452100
"7706","2020-12-31",134.080002,134.740005,131.720001,132.690002,130.735321,99116600
"7707","2021-01-04",133.520004,133.610001,126.760002,129.410004,127.503624,143301900
"7708","2021-01-05",128.889999,131.740005,128.429993,131.009995,129.080078,97664900
"7709","2021-01-06",127.720001,131.050003,126.379997,126.599998,124.735023,155088000
"7710","2021-01-07",128.360001,131.630005,127.860001,130.919998,128.991425,109578200
"7711","2021-01-08",132.429993,132.630005,130.229996,132.050003,130.104752,105158200
"7712","2021-01-11",129.190002,130.169998,128.5,128.979996,127.079956,100384500
"7713","2021-01-12",128.5,129.690002,126.860001,128.800003,126.902626,91951100
"7714","2021-01-13",128.759995,131.449997,128.490005,130.889999,128.961853,88636800
"7715","2021-01-14",130.800003,131,128.759995,128.910004,127.011009,90221800
"7716","2021-01-15",128.779999,130.220001,127,127.139999,125.267082,111598500
"7717","2021-01-19",127.779999,128.710007,126.940002,127.830002,125.946915,90757300
"7718","2021-01-20",128.660004,132.490005,128.550003,132.029999,130.085037,104319500
"7719","2021-01-21",133.800003,139.669998,133.589996,136.869995,134.853729,120150900
"7720","2021-01-22",136.279999,139.850006,135.020004,139.070007,137.021347,114459400
"7721","2021-01-25",143.070007,145.089996,136.539993,142.919998,140.814636,157611700
"7722","2021-01-26",143.600006,144.300003,141.369995,143.160004,141.051086,98390600
"7723","2021-01-27",143.429993,144.300003,140.410004,142.059998,139.96727,140843800
"7724","2021-01-28",139.520004,141.990005,136.699997,137.089996,135.070496,142621100
"7725","2021-01-29",135.830002,136.740005,130.210007,131.960007,130.016083,177523800
